timestamp,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_pos,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_vel,shoulder_lift_joint_eff,elbow_joint_eff,wrist_1_joint_eff,wrist_2_joint_eff,wrist_3_joint_eff,shoulder_pan_joint_eff
1750772612.445508,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4471653,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.447577,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4478707,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4486701,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4507701,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4534652,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4569721,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.459007,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.459385,-2.079090580293051,-1.2227091337565783,-1.4458524465820588,1.5722650011230699,-0.7490975674386178,-2.3190830853501785,0.0,0.0,0.0,0.0,0.0,0.0,6.786583057997464,4.238499966947643,0.299676400450917,0.00012117130630852165,0.0,1.4268504821937196e-16
1750772612.4611175,-2.0790905908624513,-1.222710120987184,-1.4458514465820587,1.5722650129776383,-0.7490972253372172,-2.319082743045419,-1.0569400528615342e-05,-0.0009872306062111943,0.001,1.1854568533152843e-05,0.00034210140047168704,0.0003423047598590044,6.632257373975031,4.020403919766773,0.31909094545398625,0.0018570720373230665,0.00963710723790742,0.17924554798089307
1750772612.4632616,-2.0790906225706536,-1.222713082679003,-1.4458484465820591,1.572265048541344,-0.7490961990330156,-2.319081716131139,-2.1138801057230683e-05,-0.0019744612124223885,0.002,2.3709137066305686e-05,0.0006842028009433741,0.0006846095197180088,6.632256982820121,4.0204020249172014,0.3190909312560766,0.001857073567540909,0.00963710723790085,0.17924520211174083
1750772612.4650216,-2.079090675417655,-1.2227180188320341,-1.4458434465820584,1.5722651078141867,-0.7490944885260138,-2.31908000460734,-3.170820158584603e-05,-0.0029616918186335826,0.003,3.5563705599458525e-05,0.001026304201415061,0.0010269142795770133,6.632256330833975,4.020398866756018,0.319090907593799,0.0018570761177591796,0.0096371072378899,0.17924462565358315
1750772612.4670033,-2.079090749403459,-1.2227249294462776,-1.4458364465820583,1.5722651907961664,-0.74909209381621,-2.3190776084740206,-4.227760211446137e-05,-0.003948922424844777,0.004,4.741827413261137e-05,0.0013684056018867482,0.0013692190394360177,6.632255417924692,4.020394445165374,0.3190908744685101,0.0018570796877607342,0.009637107237874575,0.17924381859206412
1750772612.4689887,-2.0790908445280643,-1.2227338145217335,-1.4458274465820589,1.5722652974872833,-0.749089014903606,-2.319074527731182,-5.2847002643076713e-05,-0.004936153031055971,0.005,5.927284266576421e-05,0.001710507002358435,0.0017115237992950223,6.63225424396356,4.020388759980282,0.3190908318821096,0.0018570842772415459,0.00963710723785486,0.17924278090708523
1750772612.4711478,-2.0790908445280643,-1.2227338145217335,-1.4458274465820589,1.5722652974872833,-0.749089014903606,-2.319074527731182,-5.2847002643076713e-05,-0.004936153031055971,0.005,5.927284266576421e-05,0.001710507002358435,0.0017115237992950223,6.63225424396356,4.020388759980282,0.3190908318821096,0.0018570842772415459,0.00963710723785486,0.17924278090708523
